pValue,ligand,data
4.01,CCCCc1ccc(C)c(N/C=N/O)c1,CYP2d6_ic50
4.5,CCCCCCc1ccc(N/C=N/O)cc1,CYP2d6_ic50
4.28,Cc1ccc(N/C=N/O)cc1,CYP2d6_ic50
4.98,Nn1nnc2ccccc21,CYP2d6_ic50
4.08,CCCCc1ccc(N/C=N/O)cc1,CYP2d6_ic50
4.5,CCCCc1ccccc1/N=C/NO,CYP2d6_ic50
5.89,c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,CYP2d6_ic50
5.5,CCOC(=O)N1CCN(CCOc2ccc(-n3ccnc3)cc2)CC1,CYP2d6_ic50
6.4,c1cn(-c2ccc(OCCN3CCOCC3)cc2)cn1,CYP2d6_ic50
5.98,CN(C)CCOc1ccc(-n2ccnc2)cc1,CYP2d6_ic50
5.98,c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1,CYP2d6_ic50
6.4,CN(C)CCCOc1ccc(-n2ccnc2)cc1,CYP2d6_ic50
6.21,c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1,CYP2d6_ic50
6.39,CN(C)CCCCCCOc1ccc(-n2ccnc2)cc1,CYP2d6_ic50
5.98,c1ccc(COc2ccc(-n3ccnc3)cc2)nc1,CYP2d6_ic50
6,CCCCCCOc1ccc(-n2ccnc2)cn1,CYP2d6_ic50
4.68,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,CYP2d6_ic50
4.83,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccncc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccc3)o2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
5.5,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccncc1)C[C@H](O)CN1CCN(CC2=CC3C=CSC3S2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
5.44,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccncc1)C[C@H](O)CN1CCN(Cc2cc3ccccc3o2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
4.96,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(CC2=CC3C=CSC3S2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
4.72,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2cc3ccccc3o2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
5.06,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2cc3cccc(Cl)c3o2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
4.57,CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)cc(Cl)nc21,CYP2d6_ic50
4.57,CCN1c2ncc(CSc3cc(C)nc(C)c3)cc2C(=O)Nc2c(C)cc(F)nc21,CYP2d6_ic50
4.84,CNc1ccc(-c2cccnc2)s1,CYP2d6_ic50
0,Cn1cnc(-c2cccnc2)c1,CYP2d6_ic50
0,CCn1cnc(-c2cccnc2)c1,CYP2d6_ic50
4.44,c1ccc(Cn2cnc(-c3cccnc3)c2)cc1,CYP2d6_ic50
0,Cc1cn(-c2cccnc2)cn1,CYP2d6_ic50
4.03,Cc1ccsc1-c1cccnc1,CYP2d6_ic50
0,CC(=O)c1ccc(-c2cccnc2)s1,CYP2d6_ic50
0,c1cncc(-c2ccsc2)c1,CYP2d6_ic50
0,Fc1ccc(-c2ccsc2)cn1,CYP2d6_ic50
0,Cc1cscc1-c1cccnc1,CYP2d6_ic50
0,Cc1cscc1-c1ccc(F)nc1,CYP2d6_ic50
4.01,c1cncc(-c2c[nH]cn2)c1,CYP2d6_ic50
0,O/N=C/c1ccc(-c2cccnc2)s1,CYP2d6_ic50
0,NCc1ccc(-c2cccnc2)s1,CYP2d6_ic50
4.89,c1cncc(-c2ccc(CNCc3ccc(-c4cccnc4)s3)s2)c1,CYP2d6_ic50
4.95,NCc1ccc(-c2cccnc2)o1,CYP2d6_ic50
0,C[n+]1c[nH]cc1-c1cccnc1,CYP2d6_ic50
0,N=Cc1ccc(-c2cccnc2)s1.N=Cc1ccc(-c2cccnc2)s1.NCc1ccc(-c2cccnc2)s1,CYP2d6_ic50
0,Cc1nccn1-c1cccnc1,CYP2d6_ic50
4.62,COCCc1ccc(OCC(O)CNC(C)C)cc1,CYP2d6_ic50
4.55,CC(C)(C)NCC(O)COc1ccccc1,CYP2d6_ic50
6.51,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccc(O)cc1C#N,CYP2d6_ic50
5.42,CC(C)N[C@@H](C)C(O)COc1cccc2ccccc12,CYP2d6_ic50
4.75,CC(C)NCC(O)COc1ccccc1,CYP2d6_ic50
4.68,CC(C)NC[C@@H](O)COc1ccc(-c2ccccc2)c2ccccc12,CYP2d6_ic50
4.96,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,CYP2d6_ic50
6.38,COc1ccc2c(CC(C)(C)NCC(O)COc3ccccc3C#N)c[nH]c2c1,CYP2d6_ic50
4.92,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccc(CCC(=O)O)cc1C#N,CYP2d6_ic50
7.52,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1cccc2ccccc12,CYP2d6_ic50
4.18,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,CYP2d6_ic50
7.3,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N,CYP2d6_ic50
5.68,CCOC(=O)CCc1ccc(OCC(O)CNC(C)(C)Cc2c[nH]c3ccccc23)c(C#N)c1,CYP2d6_ic50
7.52,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1,CYP2d6_ic50
