pValue,smiles,data
7.85,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,ERalpha_ic50
7.64,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,ERalpha_ic50
7.6,Cc1c(-c2ccc(O)cc2)n(CCCCCCN2CCCC2)c2ccc(O)cc12,ERalpha_ic50
4.7,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c1C2=O,ERalpha_ic50
5.2,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,ERalpha_ic50
5.57,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,ERalpha_ic50
5.96,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,ERalpha_ic50
7.61,Cc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2c2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ic50
6.8,O=C(c1ccccc1)N1Cc2cc(O)ccc2C(c2ccc(O)cc2)C1,ERalpha_ic50
7.3,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1cccs1,ERalpha_ic50
8.23,O=C(/C=C/c1ccc(N2CCc3cc(O)ccc3C2c2ccccc2)cc1)N1CCOCC1,ERalpha_ic50
8.25,O=S(=O)(c1cccc2ccccc12)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
8.1,CN(C)C(=O)/C=C/c1ccc(N2CCc3cc(O)ccc3C2c2ccccc2)cc1,ERalpha_ic50
9.3,Oc1ccc2c(c1)CCC(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
6.92,O=S(=O)(c1ccccc1)N1Cc2cc(O)ccc2C(c2ccc(O)cc2)C1,ERalpha_ic50
8.04,Oc1ccc2c(c1)CCN(Cc1ccc3c(c1)OCO3)C2c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
7.28,Oc1ccc2c(c1)CCN(c1ccccc1)C2CC1CCCCC1,ERalpha_ic50
8.17,Oc1ccc2c(c1)CCN(c1ccccc1)C2Cc1ccccc1,ERalpha_ic50
6.25,O=C(c1ccccc1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
7.7,Oc1ccc(C2CN(Cc3ccccc3)Cc3cc(O)ccc32)cc1,ERalpha_ic50
7.53,Oc1ccc2c(c1)CCN(c1ccccc1)C2C1CCCCC1,ERalpha_ic50
7.55,O=S(=O)(c1cccc2ccccc12)N1Cc2cc(O)ccc2C(c2ccc(O)cc2)C1,ERalpha_ic50
6.78,O=C(N1CCc2cc(O)ccc2C1c1ccc(Br)cc1)C(F)(F)F,ERalpha_ic50
6.91,O=C(N1Cc2cc(O)ccc2C(c2ccc(O)cc2)C1)C(F)(F)F,ERalpha_ic50
8.28,O=S(=O)(c1ccccc1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
7.27,O=C(N1CCc2cc(O)ccc2[C@H]1c1ccc(O)cc1)C(F)(F)F,ERalpha_ic50
6.95,O=S(=O)(c1ccc2ccccc2c1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
6.63,O=C(N1CCc2cc(O)ccc2C1c1ccccc1)C(F)(F)F,ERalpha_ic50
7.53,CCCc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2c2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ic50
7.51,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccccc1,ERalpha_ic50
6.42,O=C(N1CCc2cc(O)ccc2C1c1cccs1)C(F)(F)F,ERalpha_ic50
7.94,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
7.37,CC(C)C1c2ccc(O)cc2CCN1c1ccccc1,ERalpha_ic50
8.33,Oc1ccc2c(c1)CCN(Cc1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
7.54,O=C(N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1)C(F)(F)F,ERalpha_ic50
