pValue,smiles,data
7.32,CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2CC1(CC)CC,AR_ic50
7.62,C[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2CC1(C)C,AR_ic50
7.82,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1O,AR_ic50
6.12,CSc1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,AR_ic50
5.73,CCCCSc1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,AR_ic50
6.47,CC1=CC(C)(C)N(C)c2cc3nc(Cl)cc(C(F)(F)F)c3cc21,AR_ic50
6.61,Cc1c2c(cc3c(C(F)(F)F)ccnc13)C(C)CC(C)(C)N2,AR_ic50
5.94,CC1(C)CCc2cc3c(C(F)(F)F)cc(N)nc3cc2N1,AR_ic50
6.2,CC1(C)CCc2cc3c(C(F)(F)F)cc(N(S(C)(=O)=O)S(C)(=O)=O)nc3cc2N1,AR_ic50
6.47,CCCCS(=O)c1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,AR_ic50
7.52,CC1(C)CCc2cc3c(C(F)(F)F)cc(Cl)nc3cc2N1,AR_ic50
7.35,CN1c2cc3nc(C#N)cc(C(F)(F)F)c3cc2CCC1(C)C,AR_ic50
7.14,CC1(C)CCc2cc3c(C(F)(F)F)cc(Br)nc3cc2N1,AR_ic50
8.05,CC1(C)CCc2cc3c(C(F)(F)F)cc(C#N)nc3cc2N1,AR_ic50
6.3,CC1(C)CCc2cc3c(C(F)(F)F)cc(NS(C)(=O)=O)nc3cc2N1,AR_ic50
6.11,Cc1c2c(cc3c(C(F)(F)F)cc(Br)nc13)C(C)CC(C)(C)N2,AR_ic50
7.52,CC1=CC(C)(C)Nc2cc3nc(Cl)cc(C(F)(F)F)c3cc21,AR_ic50
6.17,Cc1c2c(cc3c(C(F)(F)F)cc(Cl)nc13)C(C)CC(C)(C)N2,AR_ic50
7.66,CC1(C)CCc2cc3c(C(F)(F)F)cc(F)nc3cc2N1,AR_ic50
5.49,COc1ccc(CNc2cc(C(F)(F)F)c3cc4c(cc3n2)NC(C)(C)CC4)cc1,AR_ic50
6.67,CC1(C)CCc2cc3c(C(F)(F)F)ccnc3cc2N1,AR_ic50
6.6,CN1c2cc3nc(Cl)cc(C(F)(F)F)c3cc2CCC1(C)C,AR_ic50
6.05,CC1(C)CCc2cc3c(C(F)(F)F)cc(SCC(F)(F)F)nc3cc2N1,AR_ic50
6.32,CC1(C)CCc2cc3c(C(F)(F)F)cc(S(C)(=O)=O)nc3cc2N1,AR_ic50
5.84,Cc1c2c(cc3c(C(F)(F)F)cc(F)nc13)C(C)CC(C)(C)N2,AR_ic50
7.51,CC1=CC(C)(C)Nc2cc3nc(F)cc(C(F)(F)F)c3cc21,AR_ic50
6.14,CN1c2cc3nccc(C(F)(F)F)c3cc2CCC1(C)C,AR_ic50
7.2,CS(=O)c1cc(C(F)(F)F)c2cc3c(cc2n1)NC(C)(C)CC3,AR_ic50
6.33,CC1(C)CCc2cc3c(C(F)(F)F)cc(C(F)(F)F)nc3cc2N1,AR_ic50
6.76,CN1c2cc3nc(F)cc(C(F)(F)F)c3cc2CCC1(C)C,AR_ic50
7.14,CN1c2cc3nc(Br)cc(C(F)(F)F)c3cc2CCC1(C)C,AR_ic50
5.89,CC1(C)OC(=O)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,AR_ic50
6.68,CC1(C)OC(=O)Nc2ccc(-c3ccc(F)c(Cl)c3)cc21,AR_ic50
6.55,CC1(C)OC(=O)Nc2ccc(-c3csc(C#N)c3)cc21,AR_ic50
6.89,CC1(C)OC(=O)Nc2ccc(-c3coc(C#N)c3)cc21,AR_ic50
6.13,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccccc1)Oc1ccccc1-3,AR_ic50
6.32,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Br)cc1)Oc1ccccc1-3,AR_ic50
6.5,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cccc(C(F)(F)F)c1)Oc1ccccc1-3,AR_ic50
5.91,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(C)c(F)c1)Oc1ccccc1-3,AR_ic50
6.6,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cccc(Cl)c1)Oc1ccccc1-3,AR_ic50
6.02,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)c(Cl)c1)Oc1ccccc1-3,AR_ic50
5.81,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)cc1)Oc1ccccc1-3,AR_ic50
5.91,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cc(C)cc(Br)c1)Oc1ccccc1-3,AR_ic50
5.66,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)c(F)c1)Oc1ccccc1-3,AR_ic50
5.85,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)c(C)c1)Oc1ccccc1-3,AR_ic50
5.91,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(C)cc1)Oc1ccccc1-3,AR_ic50
6.4,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cccc(Br)c1)Oc1ccccc1-3,AR_ic50
5.96,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cc(Cl)cc(Cl)c1)Oc1ccccc1-3,AR_ic50
6.52,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Cl)cc1F,AR_ic50
6.77,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccccc1,AR_ic50
5.28,Cc1cc(N2C(=O)[C@@H]3C4C=CC([C@H](O)[C@@H]4O)[C@@H]3C2=O)ccc1Br,AR_ic50
5.39,CN1C(=O)C2C=CC1[C@@H]1C(=O)N(c3ccc([N+](=O)[O-])c4ccccc34)C(=O)[C@H]21,AR_ic50
5.59,O=C1[C@H]2[C@@H]3C[C@@H](CN3C(=O)c3ccccc3)N2C(=O)N1c1ccc([N+](=O)[O-])cc1,AR_ic50
8.41,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,AR_ic50
