pValue,smiles,data
6.8,Oc1ccc(CCNc2nc(SCCCc3ccc(Cl)cc3)nc(N3CCNCC3)n2)cc1,ERalpha_ki
5.86,Oc1ccc(CCNc2nc(NCCCc3ccccc3)nc(N3CCNCC3)n2)cc1,ERalpha_ki
7.22,C[C@@H]1CN(c2nc(NCCc3ccc(O)cc3)nc(N(C)CCCc3ccc(Cl)cc3)n2)C[C@H](C)N1,ERalpha_ki
6.92,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(Cc3ccccc3)CC2)n1,ERalpha_ki
8.43,CNc1c(/C=N/O)ccc(-c2ccccc2)c1-c1ccccc1,ERalpha_ki
8.96,O/N=C/c1ccc(-c2ccccc2)c(-c2ccccc2)c1O,ERalpha_ki
9.33,CCNc1c(/C=N/O)ccc(-c2ccccc2)c1-c1ccccc1,ERalpha_ki
8.66,Nc1c(/C=N/O)ccc(-c2ccccc2)c1-c1ccccc1,ERalpha_ki
9.82,O/N=C/c1ccc(-c2ccccc2)c(-c2ccccc2)c1,ERalpha_ki
7.47,CCCc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1,ERalpha_ki
7.12,CCc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1,ERalpha_ki
8.6,CCc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OC)cc1,ERalpha_ki
7.5,Cc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1,ERalpha_ki
9.44,CCc1c(-c2ccc(OCCN3CCCCC3)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(O)cc1,ERalpha_ki
8.42,CCc1c(-c2ccc(O)cc2)oc(-c2ccccc2)c1-c1ccc(OCCN2CCCCC2)cc1,ERalpha_ki
7.22,CCc1c(-c2ccccc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1,ERalpha_ki
9.55,Oc1ccc2c(c1)CN(c1ccc(OCCN3CCCCC3)cc1)c1c-2ccc2cc(O)ccc12,ERalpha_ki
6.54,C=C(C)c1ccc2c(c1)c(-c1ccc(OCCN3CCCCC3)cc1)cc1cc(O)cc(C)c12,ERalpha_ki
6.68,CC(C)=C(C)c1ccc2c(c1)c(-c1ccc(OCCN3CCCCC3)cc1)cc1cc(O)cc(C)c12,ERalpha_ki
6.31,Cc1cc(O)cc2cc(-c3ccc(OCCN4CCCCC4)cc3)c3cc(C(=O)C(C)C)ccc3c12,ERalpha_ki
6.92,Cc1cc(O)cc2cc(-c3ccc(OCCN4CCCCC4)cc3)c3cc(C(C)O)ccc3c12,ERalpha_ki
8.06,CCc1ccc2c(c1)C(c1ccc(OCCN3CCCCC3)cc1)Cc1cc(O)cc(C)c1-2,ERalpha_ki
8.41,O=C(c1ccc(OCCN2CCCCC2)cc1)c1oc2cc(O)ccc2c(=O)c1-c1ccc(O)cc1,ERalpha_ki
6.58,COc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1,ERalpha_ki
6.42,CCOc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1,ERalpha_ki
6.11,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,ERalpha_ki
6.88,COc1ccc(/C=C\c2cc(OC)cc(OC)c2)cc1,ERalpha_ki
6.87,CCOc1ccc(/C=C\c2cc(OC)cc(OC)c2)cc1,ERalpha_ki
8,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCOC4CC[C@@]5(C)[C@@H](C4)C[C@@H](O)[C@@H]4[C@@H]5C[C@H](O)[C@]5(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)CC[C@@H]45)cc3)C[C@@]21C,ERalpha_ki
7.47,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C(C)=O)cc3)C[C@@]21C,ERalpha_ki
7.14,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C(=O)CC[C@H](NC(=O)CC[C@@H](C)[C@H]4CC[C@H]5[C@@H]6[C@H](O)C[C@@H]7C[C@H](O)CC[C@]7(C)[C@H]6C[C@H](O)[C@]45C)C(=O)O)cc3)C[C@@]21C,ERalpha_ki
