ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
4535,5.581,0.4705,4.958,0.631
4536,5.439,0.2289,4.616,0.3146
4537,6.48,0.4258,6.185,0.5477
4538,5.78,0.3399,5.78,0.3399
4539,6.04,0.3828,5.059,0.416
4540,5.322,0.682,5.322,0.682
4549,6.238,0.3421,4.81,0.3567
4554,4.62,0.6191,3.692,0.62
4557,6.212,0.2846,5.957,0.4756
4558,4.853,0.4063,4.853,0.4063
4559,5.908,0.4855,4.871,0.5123
4560,5.729,0.4074,4.716,0.534
4561,5.547,0.3297,5.547,0.3297
4562,5.829,0.2302,4.53,0.2449
4563,5.682,0.228,4.739,0.2836
4564,5.508,0.2232,5.103,0.2785
4565,6.248,0.3037,6.248,0.3037
4566,5.532,0.2443,5.275,0.3203
4567,5.478,0.3168,5.478,0.3168
4568,5.461,0.2461,5.43,0.3038
4569,6.119,0.4184,6.119,0.4184
4570,6.173,0.3754,6.15,0.5606
4572,4.614,0.4531,4.614,0.4531
4573,4.911,0.4807,4.911,0.4807
4574,4.559,0.3727,4.543,0.4619
4575,5.3,0.4639,5.019,0.575
4576,6.333,0.4189,4.834,0.4265
4592,6.107,0.3582,6.0,0.6943
4593,4.484,0.4011,4.469,0.4015
4594,5.336,0.398,5.336,0.398
4595,6.403,0.7896,6.403,0.7896
4596,5.623,0.5492,5.623,0.5492
4597,5.248,0.3025,5.239,0.4185
4598,5.679,0.5548,5.679,0.5548
4599,6.502,0.4368,5.901,0.574
4601,5.987,0.5748,5.987,0.5748
4603,6.289,0.3533,5.834,0.4187
4604,6.374,0.8165,6.374,0.8165
4607,6.53,0.5148,6.53,0.5148
4608,6.26,0.3719,6.191,0.4028
4609,5.626,0.5342,5.414,0.8201
4610,5.186,0.6473,5.186,0.6473
4611,5.062,0.5642,4.41,0.606
4612,5.649,0.4579,4.711,0.5954
4613,5.027,0.4617,4.75,0.5328
4614,4.876,0.526,4.492,0.6121
4615,5.361,0.4723,4.684,0.6225
4616,5.917,0.5784,4.493,0.5813
4617,5.987,0.7091,5.987,0.7091
4618,6.072,0.4216,5.516,0.6925
4619,5.234,0.5241,4.732,0.6302
4620,5.709,0.5497,4.459,0.6678
4621,6.495,0.8221,6.495,0.8221
4622,6.203,0.8605,6.203,0.8605
4623,6.211,0.4284,5.556,0.5905
4624,6.258,0.7306,6.258,0.7306
4625,5.381,0.5131,4.58,0.5869
4626,6.266,0.5197,6.266,0.5197
4627,6.231,0.541,5.268,0.6314
4628,5.737,0.5117,4.76,0.6434
4629,5.487,0.4572,5.236,0.6038
4630,6.323,0.7552,6.094,0.7972
4631,6.348,0.605,6.348,0.605
4633,6.282,0.6981,6.282,0.6981
4634,6.461,0.7062,6.461,0.7062
4635,5.269,0.2832,5.095,0.37
4636,5.566,0.2717,5.32,0.4849
4637,5.264,0.2955,5.136,0.4337
4638,7.119,0.2696,6.293,0.3306
4639,6.184,0.4692,6.184,0.4692
4640,6.294,0.4269,5.574,0.432
4643,5.945,0.3397,5.252,0.4584
4645,5.673,0.5106,5.673,0.5106
4646,5.575,0.4324,4.814,0.5719
4647,5.647,0.551,5.647,0.551
4648,4.938,0.4284,4.072,0.4937
4651,6.54,0.4918,6.54,0.4918
4652,5.529,0.55,5.529,0.55
4653,6.907,0.3976,6.815,0.5704
4654,5.631,0.5272,4.793,0.6012
4656,5.423,0.7503,5.423,0.7503
4657,5.674,0.2667,5.407,0.4063
4658,6.427,0.4923,6.427,0.4923
4659,5.107,0.3473,4.253,0.4265
4660,5.502,0.2711,4.793,0.4413
4663,5.667,0.3625,5.667,0.3625
4664,5.998,0.3946,5.998,0.3946
4665,4.921,0.4053,4.548,0.5822
4667,5.409,0.4637,4.839,0.503
4668,6.526,0.5293,6.526,0.5293
4669,6.889,0.3571,6.414,0.4584
4670,5.87,0.4027,5.713,0.4885
4671,6.072,0.3131,5.558,0.421
4675,6.906,0.4233,6.718,0.5354
