ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
1942,7.905,0.3663,7.72,0.562
1943,7.827,0.6893,7.827,0.6893
1945,6.063,0.3948,5.874,0.4567
1946,5.231,0.698,5.143,0.8086
1947,5.37,0.5142,5.268,0.5488
1948,5.604,0.5766,5.603,0.7002
1949,5.378,0.575,5.357,0.6573
1950,5.243,0.67,5.103,0.6862
1951,5.475,0.6876,5.475,0.6876
1952,5.208,0.7002,5.208,0.7002
1953,5.495,0.6937,5.495,0.6937
1954,5.256,0.6145,5.032,0.7774
1955,5.111,0.6022,5.061,0.6049
1956,5.446,0.5556,5.428,0.6894
1957,5.392,0.6727,5.301,0.6849
1958,5.225,0.6332,5.178,0.6593
1959,5.292,0.7034,5.235,0.7159
1960,5.439,0.8467,5.439,0.8467
1961,5.604,0.7507,5.492,0.8039
1962,5.415,0.603,5.082,0.6823
1963,5.694,0.5565,5.671,0.6284
1964,5.486,0.6095,5.457,0.6345
1965,4.913,0.5219,4.678,0.5622
1966,5.933,0.4585,5.862,0.5293
1967,5.298,0.6569,5.142,0.8106
1968,5.36,0.6891,5.184,0.7281
1969,6.933,0.3469,6.845,0.5315
1970,6.781,0.4726,6.781,0.4726
1971,7.254,0.438,7.148,0.4897
1972,7.044,0.2989,6.833,0.335
1973,7.079,0.512,7.079,0.512
1974,7.1,0.569,7.1,0.569
1975,6.978,0.2147,6.821,0.4855
1976,6.936,0.366,6.936,0.366
1977,7.314,0.616,7.314,0.616
1978,7.237,0.3469,7.202,0.4422
1979,7.115,0.3796,7.101,0.5452
1980,7.207,0.4815,7.207,0.4815
1981,6.959,0.4935,6.781,0.5121
1982,6.899,0.4653,6.825,0.5435
1983,7.08,0.4864,7.08,0.4864
1984,7.05,0.5471,7.05,0.5471
1985,6.854,0.5342,6.854,0.5342
1990,8.454,0.681,8.131,0.6945
1991,8.457,0.6813,8.137,0.7072
1992,8.376,0.6781,8.376,0.6781
1993,8.127,0.5609,8.005,0.6684
1994,8.66,0.5934,8.461,0.677
1995,8.859,0.578,8.74,0.6747
1996,8.281,0.5932,8.07,0.6299
1997,8.35,0.7111,8.35,0.7111
1998,8.608,0.7095,8.608,0.7095
2000,8.493,0.7838,8.493,0.7838
2001,8.83,0.7595,8.83,0.7595
2002,8.098,0.5867,7.927,0.6413
2003,8.241,0.6315,8.001,0.759
2004,8.466,0.7236,8.354,0.7425
2005,8.291,0.5218,8.229,0.5524
2006,8.941,0.5958,8.941,0.5958
2007,7.572,0.6267,7.549,0.6578
2008,7.604,0.5318,7.425,0.589
2009,7.551,0.6588,7.551,0.6588
2010,7.448,0.5496,7.21,0.6468
2011,7.192,0.6441,7.192,0.6441
2012,7.537,0.6396,7.265,0.6731
2013,7.578,0.7603,7.578,0.7603
2014,7.737,0.7625,7.737,0.7625
2017,8.544,0.4755,8.347,0.5686
2022,8.219,0.4284,7.63,0.5407
2023,8.718,0.7327,8.718,0.7327
2024,7.929,0.5371,7.783,0.6759
2025,8.881,0.6187,8.881,0.6187
2026,8.418,0.7027,8.418,0.7027
2027,8.443,0.7057,8.443,0.7057
2028,8.163,0.483,7.96,0.639
2029,8.788,0.5573,8.74,0.6529
2031,8.8,0.7273,8.8,0.7273
2033,6.482,0.3162,6.328,0.4064
2034,6.044,0.5566,5.83,0.6498
2035,6.204,0.5066,5.586,0.5181
2036,7.96,0.7241,7.96,0.7241
2037,7.337,0.7574,7.304,0.7683
2038,7.628,0.6383,7.523,0.7213
2039,7.651,0.595,7.601,0.6943
2040,7.707,0.7495,7.707,0.7495
2041,7.628,0.678,7.628,0.678
2042,8.679,0.6727,8.535,0.7225
2043,7.685,0.5783,7.394,0.6662
2044,7.282,0.6863,7.116,0.7126
2045,7.716,0.5068,7.605,0.7513
2046,8.028,0.645,7.697,0.6811
2047,7.495,0.7778,7.495,0.7778
2048,7.458,0.5928,7.301,0.7172
2050,7.44,0.5903,7.2,0.5954
2051,7.737,0.5181,7.508,0.6591
2052,7.718,0.5846,7.484,0.7067
2053,7.89,0.7281,7.89,0.7281
2054,8.08,0.7477,8.08,0.7477
2055,7.757,0.6642,7.757,0.6642
2056,7.792,0.6582,7.627,0.6893
2057,8.087,0.7457,8.087,0.7457
2058,8.204,0.6237,8.068,0.7871
2059,8.207,0.7403,8.207,0.7403
2060,8.897,0.7449,8.897,0.7449
2061,8.288,0.7346,8.288,0.7346
2062,8.648,0.6604,8.575,0.7539
2063,8.52,0.6171,8.49,0.7153
2064,4.777,0.6798,4.574,0.7894
2065,4.75,0.7276,4.664,0.7715
2066,4.997,0.8427,4.997,0.8427
2067,5.068,0.6208,4.916,0.7457
2068,5.273,0.5689,5.197,0.7067
2069,5.314,0.4763,5.153,0.5493
2070,5.244,0.6545,5.244,0.6545
2071,5.458,0.6368,5.458,0.6368
2072,5.456,0.6037,5.456,0.6037
2073,5.345,0.8098,5.345,0.8098
2074,5.47,0.5481,5.224,0.7171
2075,5.334,0.4709,5.321,0.7024
2076,5.628,0.7358,5.628,0.7358
2077,5.784,0.7351,5.784,0.7351
2078,5.714,0.5775,5.714,0.5775
2079,5.442,0.2944,5.404,0.3941
2080,5.789,0.4578,5.774,0.4914
2081,5.86,0.5996,5.86,0.5996
2082,5.494,0.6268,5.249,0.7587
2083,5.775,0.8812,5.775,0.8812
2084,5.304,0.5807,5.254,0.6662
2085,5.596,0.6185,5.484,0.6838
2086,5.952,0.6256,5.902,0.7089
2087,6.136,0.6549,6.136,0.6549
2088,6.102,0.6508,6.102,0.6508
2089,6.169,0.6312,6.169,0.6312
2090,7.771,0.5515,7.771,0.5515
2091,7.968,0.5245,7.859,0.6309
2092,8.74,0.6443,8.419,0.7095
2094,8.006,0.4723,8.006,0.4723
2095,7.086,0.562,6.966,0.72
2096,7.359,0.6612,7.225,0.6869
2097,7.193,0.6849,7.193,0.6849
2098,7.695,0.5325,7.287,0.6632
2099,7.807,0.4469,7.653,0.5847
2100,8.004,0.586,7.954,0.8382
2101,7.978,0.4839,7.815,0.6012
2103,8.375,0.5961,8.081,0.6318
2104,8.594,0.5526,8.594,0.5526
2105,8.838,0.5122,8.181,0.5729
2115,7.099,0.4228,7.099,0.4228
2116,6.34,0.7855,6.34,0.7855
2117,5.855,0.6591,5.855,0.6591
2118,5.217,0.5542,5.172,0.572
2119,5.201,0.5538,4.955,0.5586
2120,5.278,0.5095,5.271,0.5725
2121,5.428,0.5398,5.428,0.5398
2122,5.716,0.584,5.716,0.584
2123,6.331,0.6506,6.331,0.6506
2128,6.52,0.3922,6.501,0.4129
2129,6.345,0.5198,6.157,0.678
2130,7.016,0.5314,7.016,0.5314
2131,6.526,0.3706,6.271,0.5652
2132,6.855,0.4424,6.46,0.574
2133,7.039,0.2974,7.039,0.2974
2135,6.95,0.2858,6.95,0.2858
2136,5.656,0.5158,5.239,0.6595
2137,6.973,0.7689,6.973,0.7689
2138,8.617,0.4669,8.555,0.6846
2139,5.93,0.3285,5.888,0.5944
2140,6.751,0.3621,6.383,0.5904
2141,7.031,0.775,7.031,0.775
2142,7.313,0.5119,7.313,0.5119
2143,7.234,0.3463,7.176,0.4451
2144,7.048,0.5196,7.048,0.5196
2145,6.345,0.1421,6.156,0.3273
2146,8.833,0.6783,8.828,0.6846
2147,8.82,0.8157,8.82,0.8157
2148,7.905,0.153,7.432,0.3626
2149,6.552,0.6393,6.446,0.6985
2150,5.26,0.7208,5.26,0.7208
2151,6.313,0.5737,6.313,0.5737
2152,6.435,0.6474,6.435,0.6474
2153,6.462,0.3301,6.268,0.6015
2155,7.553,0.6496,7.553,0.6496
2156,8.073,0.2857,7.329,0.4115
2157,7.252,0.3439,7.14,0.4163
2159,6.75,0.4143,6.635,0.6022
2160,7.107,0.2951,6.675,0.418
2161,6.441,0.4478,6.392,0.4553
2162,5.939,0.3946,5.854,0.4874
2163,6.176,0.6056,6.176,0.6056
2164,6.505,0.4476,6.081,0.5807
2165,6.267,0.4026,5.964,0.4137
2166,7.108,0.6663,7.108,0.6663
2167,6.322,0.3871,5.898,0.5022
2168,6.494,0.3529,6.362,0.5287
2169,6.359,0.4555,5.921,0.5583
2170,7.022,0.4035,7.022,0.4035
2171,6.331,0.4446,5.998,0.5094
2172,7.851,0.3496,7.196,0.5489
2173,7.369,0.3513,7.26,0.4396
2175,7.099,0.4854,7.099,0.4854
2178,7.577,0.3236,7.465,0.3243
2179,7.543,0.4206,7.543,0.4206
2180,6.245,0.6962,6.245,0.6962
2181,6.651,0.6974,6.651,0.6974
2182,7.369,0.6571,7.369,0.6571
2183,7.222,0.6374,6.95,0.6567
2184,7.287,0.4929,6.915,0.6282
2185,7.286,0.4487,6.834,0.5055
2186,7.426,0.6449,7.426,0.6449
2187,7.151,0.6426,7.151,0.6426
2188,6.489,0.577,6.412,0.6421
2189,6.495,0.6564,6.392,0.7126
2190,6.557,0.6328,6.557,0.6328
2191,6.596,0.7235,6.461,0.7456
2192,6.621,0.5516,6.56,0.5979
2193,6.333,0.4461,5.991,0.582
2194,7.219,0.6062,7.219,0.6062
2195,7.147,0.5556,7.147,0.5556
2196,6.526,0.6514,6.526,0.6514
2197,6.29,0.5287,6.062,0.6385
2198,6.417,0.5723,6.194,0.6487
2199,5.816,0.6973,5.816,0.6973
2200,6.083,0.7389,6.083,0.7389
2201,7.045,0.2935,6.951,0.34
2202,6.326,0.6434,6.326,0.6434
2203,5.586,0.5745,5.586,0.5745
2204,5.545,0.5118,5.545,0.5118
2205,5.835,0.4661,5.657,0.5333
2206,5.881,0.5107,5.881,0.5107
2207,7.016,0.2999,7.006,0.4782
2208,7.119,0.1537,6.739,0.1803
2209,7.815,0.7862,7.815,0.7862
2210,7.806,0.2838,7.466,0.4636
2211,5.629,0.523,5.561,0.7859
