ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
339,3.997,0.6406,3.983,0.6441
340,4.029,0.6382,4.026,0.6502
341,4.031,0.5975,4.029,0.6008
342,3.991,0.5778,3.946,0.5961
343,3.804,0.6783,3.8,0.6802
344,3.964,0.6676,3.964,0.6676
345,3.989,0.639,3.975,0.6432
346,4.023,0.636,4.018,0.6371
347,3.786,0.6703,3.766,0.6732
348,4.021,0.6406,4.004,0.6434
349,4.179,0.6182,4.155,0.6239
350,4.22,0.6178,4.191,0.6248
351,3.767,0.64,3.719,0.6431
352,3.876,0.6465,3.858,0.6497
353,4.06,0.6236,4.054,0.6274
354,4.223,0.6081,4.223,0.6081
355,4.373,0.5233,4.358,0.5303
356,4.238,0.5984,4.229,0.6011
357,4.12,0.5969,4.12,0.5969
358,3.815,0.6255,3.815,0.6255
359,3.974,0.5992,3.932,0.6014
360,3.98,0.5909,3.963,0.5926
361,3.982,0.6157,3.959,0.619
362,3.795,0.6529,3.79,0.66
363,3.79,0.5974,3.788,0.6024
364,3.757,0.6136,3.739,0.6209
365,3.907,0.6228,3.895,0.6283
366,3.965,0.6011,3.958,0.6031
367,3.975,0.6024,3.958,0.6041
368,4.016,0.5725,4.01,0.5773
369,3.898,0.6265,3.898,0.6265
370,3.961,0.603,3.957,0.6034
371,4.117,0.574,4.09,0.5843
372,4.123,0.5691,4.08,0.5694
373,3.905,0.6268,3.898,0.6292
374,4.06,0.5997,4.044,0.6085
375,4.095,0.5944,4.083,0.6021
376,3.97,0.5978,3.943,0.5993
377,4.009,0.5851,3.998,0.5879
378,4.179,0.5586,4.167,0.5597
379,4.14,0.5732,4.139,0.5761
380,4.083,0.5996,4.083,0.5996
381,4.267,0.5824,4.267,0.5824
382,4.232,0.5562,4.227,0.5614
383,4.227,0.569,4.226,0.5774
384,3.973,0.5996,3.973,0.5996
385,4.115,0.5786,4.107,0.5833
386,4.077,0.5891,4.077,0.5891
387,4.209,0.5538,4.181,0.5611
388,4.234,0.552,4.223,0.5537
389,4.291,0.482,4.265,0.4852
390,4.08,0.5728,4.032,0.5739
391,4.356,0.5588,4.343,0.5698
392,3.721,0.6832,3.721,0.6832
393,3.704,0.6687,3.704,0.6687
394,3.685,0.6719,3.685,0.6719
395,3.728,0.6902,3.728,0.6902
396,3.729,0.6719,3.707,0.6768
397,3.734,0.679,3.733,0.6818
398,3.93,0.6444,3.902,0.6493
399,3.771,0.621,3.756,0.6261
400,3.968,0.6487,3.968,0.6487
401,3.887,0.6702,3.876,0.676
402,3.782,0.6608,3.782,0.6608
403,3.801,0.6574,3.798,0.6628
404,3.934,0.5953,3.904,0.5965
405,3.896,0.6128,3.896,0.6128
406,3.787,0.6658,3.768,0.6712
407,3.796,0.59,3.786,0.592
408,3.767,0.6282,3.752,0.6312
409,3.934,0.6268,3.928,0.6295
410,3.909,0.6311,3.898,0.6348
411,3.775,0.6538,3.767,0.6563
412,4.047,0.5488,4.039,0.5528
413,4.097,0.5083,4.094,0.5214
414,3.976,0.632,3.963,0.6344
415,3.953,0.6294,3.946,0.6381
416,4.201,0.5919,4.196,0.5969
417,3.958,0.6264,3.943,0.6267
418,3.998,0.6227,3.993,0.6254
419,3.973,0.624,3.97,0.6278
420,3.972,0.6133,3.947,0.6136
421,4.023,0.6288,4.023,0.6288
422,4.047,0.6209,4.047,0.6209
423,4.03,0.6194,3.998,0.624
424,4.0,0.6082,4.0,0.6082
425,4.262,0.5813,4.259,0.5858
426,4.21,0.599,4.198,0.6047
427,4.047,0.6193,4.04,0.6225
428,4.08,0.5777,4.062,0.5791
429,4.043,0.6264,4.023,0.6277
430,3.697,0.6266,3.692,0.6294
431,3.627,0.644,3.627,0.644
432,3.67,0.5767,3.655,0.5782
433,3.722,0.5456,3.721,0.5517
434,3.906,0.5704,3.898,0.5706
435,3.787,0.5997,3.777,0.6039
436,3.725,0.6527,3.725,0.6527
437,3.671,0.6116,3.671,0.6116
438,3.706,0.5594,3.7,0.5657
439,3.887,0.5813,3.887,0.5813
440,3.7,0.6242,3.682,0.625
441,3.757,0.5785,3.751,0.5804
442,3.624,0.6459,3.621,0.6474
443,3.679,0.576,3.667,0.5805
