filename,affinity_qvina
ligand_1113.log,-8.8
ligand_1307.log,-8.3
ligand_136.log,-7.0
ligand_1171.log,-7.6
ligand_1249.log,-7.4
ligand_1485.log,-10.0
ligand_105.log,-6.1
ligand_1115.log,-10.0
ligand_1046.log,-8.7
ligand_1364.log,-7.4
ligand_1295.log,-9.3
ligand_1255.log,-8.3
ligand_1427.log,-9.0
ligand_1172.log,-8.4
ligand_1054.log,-8.1
ligand_1365.log,-7.6
ligand_142.log,-7.4
ligand_1482.log,-9.6
ligand_1369.log,-9.2
ligand_1302.log,-9.8
ligand_1126.log,-9.0
ligand_1257.log,-7.5
ligand_1174.log,-8.4
ligand_1252.log,-7.7
ligand_1041.log,-7.1
ligand_1306.log,-7.7
ligand_1430.log,-9.2
ligand_1484.log,-9.6
ligand_1301.log,-8.7
ligand_1121.log,-10.8
ligand_1047.log,-7.6
ligand_1362.log,-9.4
ligand_129.log,-8.2
ligand_1178.log,-11.0
ligand_1432.log,-9.7
ligand_1044.log,-8.8
ligand_1486.log,-8.6
ligand_1250.log,-6.6
ligand_1116.log,-9.9
ligand_1367.log,-7.8
ligand_1045.log,-8.6
ligand_1431.log,-8.4
ligand_1185.log,-7.5
ligand_1371.log,-8.6
ligand_1495.log,-9.7
ligand_1254.log,-7.2
ligand_1043.log,-7.4
ligand_1303.log,-7.9
ligand_1117.log,-9.8
ligand_1433.log,-7.1
ligand_1049.log,-8.5
ligand_118.log,-8.8
ligand_1259.log,-9.3
ligand_1488.log,-9.7
ligand_1380.log,-8.7
ligand_1304.log,-8.2
ligand_104.log,-8.0
ligand_1437.log,-6.5
ligand_1379.log,-7.8
ligand_1491.log,-9.0
ligand_1438.log,-8.1
ligand_1127.log,-10.1
ligand_1299.log,-8.5
ligand_1256.log,-7.0
ligand_1436.log,-8.6
ligand_1372.log,-8.2
ligand_106.log,-5.6
ligand_1434.log,-7.2
ligand_1492.log,-9.0
ligand_1187.log,-8.6
ligand_1068.log,-7.2
ligand_1247.log,-7.8
ligand_1435.log,-8.3
ligand_1300.log,-7.8
ligand_1443.log,-6.9
ligand_111.log,-7.6
ligand_1376.log,-7.2
ligand_1065.log,-9.4
ligand_117.log,-8.6
ligand_1260.log,-8.1
ligand_1442.log,-6.5
ligand_1494.log,-9.6
ligand_143.log,-6.7
ligand_1490.log,-10.1
ligand_125.log,-6.7
ligand_1069.log,-7.6
ligand_1120.log,-9.9
ligand_1370.log,-8.4
ligand_1305.log,-9.7
ligand_1186.log,-7.9
ligand_1066.log,-7.3
ligand_1487.log,-8.6
ligand_1447.log,-8.1
ligand_1114.log,-10.0
ligand_1318.log,-7.9
ligand_1074.log,-7.0
ligand_148.log,-7.5
ligand_1261.log,-5.5
ligand_1189.log,-8.8
ligand_1515.log,-10.4
ligand_1381.log,-7.7
ligand_1311.log,-10.0
ligand_1072.log,-7.8
ligand_1118.log,-8.9
ligand_1192.log,-8.7
ligand_1312.log,-9.8
ligand_1444.log,-7.8
ligand_1440.log,-9.4
ligand_1489.log,-9.9
ligand_1511.log,-8.6
ligand_157.log,-8.0
ligand_1445.log,-9.1
ligand_137.log,-7.5
ligand_1119.log,-9.1
ligand_1599.log,-10.2
ligand_1316.log,-8.2
ligand_1510.log,-8.1
ligand_1496.log,-9.6
ligand_1194.log,-9.1
ligand_1386.log,-4.7
ligand_1516.log,-9.5
ligand_1593.log,-7.7
ligand_1441.log,-6.5
ligand_1128.log,-8.0
ligand_1313.log,-8.5
ligand_1446.log,-10.4
ligand_1129.log,-8.0
ligand_1377.log,-7.1
ligand_1191.log,-7.9
ligand_1499.log,-8.4
ligand_1512.log,-9.4
ligand_112.log,-7.1
ligand_1308.log,-7.1
ligand_1595.log,-8.9
ligand_1383.log,-9.0
ligand_1497.log,-9.9
ligand_1524.log,-8.8
ligand_1130.log,-7.8
ligand_1439.log,-7.8
ligand_1592.log,-7.7
ligand_1458.log,-8.6
ligand_1133.log,-8.0
ligand_1520.log,-8.2
ligand_1309.log,-10.2
ligand_1188.log,-6.9
ligand_1384.log,-9.1
ligand_1139.log,-7.9
ligand_164.log,-8.0
ligand_1500.log,-9.7
ligand_1513.log,-8.4
ligand_1173.log,-8.4
ligand_1322.log,-8.5
ligand_1716.log,-8.1
ligand_1594.log,-9.3
ligand_1385.log,-9.1
ligand_1522.log,-7.5
ligand_1388.log,-9.3
ligand_149.log,-7.8
ligand_1596.log,-8.7
ligand_1653.log,-8.0
ligand_1195.log,-9.7
ligand_1720.log,-9.5
ligand_1517.log,-8.6
ligand_1506.log,-9.6
ligand_1600.log,-9.9
ligand_1321.log,-8.5
ligand_1387.log,-9.6
ligand_1669.log,-9.8
ligand_1518.log,-10.5
ligand_119.log,-6.6
ligand_1598.log,-10.1
ligand_1776.log,-8.4
ligand_1498.log,-7.8
ligand_1712.log,-7.4
ligand_1519.log,-8.9
ligand_1784.log,-8.9
ligand_1658.log,-8.5
ligand_130.log,-6.8
ligand_1855.log,-6.0
ligand_1723.log,-8.4
ligand_1606.log,-8.6
ligand_1507.log,-8.9
ligand_151.log,-8.4
ligand_1721.log,-7.5
ligand_1605.log,-8.9
ligand_184.log,-8.7
ligand_1777.log,-8.8
ligand_165.log,-6.3
ligand_1504.log,-9.3
ligand_1310.log,-11.8
ligand_1525.log,-8.2
ligand_1597.log,-10.2
ligand_1727.log,-7.3
ligand_1774.log,-9.1
ligand_1665.log,-8.1
ligand_131.log,-7.1
ligand_1523.log,-7.9
ligand_1722.log,-7.8
ligand_1505.log,-9.6
ligand_1854.log,-5.8
ligand_178.log,-8.8
ligand_1602.log,-9.1
ligand_1521.log,-8.4
ligand_1663.log,-9.1
ligand_1725.log,-8.0
ligand_1851.log,-7.0
ligand_1319.log,-8.5
ligand_152.log,-8.4
ligand_1603.log,-9.6
ligand_1503.log,-9.4
ligand_1792.log,-8.3
ligand_1737.log,-9.6
ligand_1530.log,-8.0
ligand_1664.log,-8.6
ligand_1320.log,-8.3
ligand_1604.log,-9.5
ligand_1856.log,-8.1
ligand_1509.log,-9.3
ligand_1791.log,-8.5
ligand_1526.log,-7.8
ligand_1724.log,-7.9
ligand_166.log,-6.9
ligand_159.log,-9.4
ligand_1508.log,-8.5
ligand_1527.log,-9.1
ligand_185.log,-8.1
ligand_1790.log,-8.8
ligand_1659.log,-8.1
ligand_172.log,-7.4
ligand_1323.log,-8.0
ligand_1601.log,-10.5
ligand_150.log,-6.1
ligand_1536.log,-9.9
ligand_1800.log,-9.2
ligand_1502.log,-9.2
ligand_1869.log,-9.8
ligand_1529.log,-8.8
ligand_160.log,-7.8
ligand_1667.log,-8.5
ligand_173.log,-6.7
ligand_1534.log,-8.5
ligand_1327.log,-8.1
ligand_1801.log,-8.5
ligand_1608.log,-9.5
ligand_1501.log,-9.8
ligand_1654.log,-8.1
ligand_1726.log,-9.0
ligand_1863.log,-9.3
ligand_1729.log,-9.9
ligand_1607.log,-10.6
ligand_1799.log,-9.4
ligand_1927.log,-9.5
ligand_1535.log,-9.4
ligand_1330.log,-8.5
ligand_1862.log,-8.6
ligand_1325.log,-7.9
ligand_1793.log,-8.7
ligand_1609.log,-10.8
ligand_1656.log,-9.5
ligand_1928.log,-8.6
ligand_1864.log,-7.9
ligand_1794.log,-8.7
ligand_1532.log,-8.4
ligand_1736.log,-10.8
ligand_1929.log,-8.8
ligand_1611.log,-6.0
ligand_1657.log,-7.7
ligand_1993.log,-8.8
ligand_1860.log,-8.5
ligand_1531.log,-8.8
ligand_1614.log,-6.9
ligand_1739.log,-10.3
ligand_1796.log,-8.0
ligand_1615.log,-8.0
ligand_1666.log,-7.2
ligand_1931.log,-7.8
ligand_1528.log,-8.9
ligand_1861.log,-9.1
ligand_1733.log,-9.0
ligand_1803.log,-8.8
ligand_1620.log,-7.6
ligand_1533.log,-8.9
ligand_1668.log,-7.4
ligand_2000.log,-9.2
ligand_1932.log,-7.9
ligand_1537.log,-8.2
ligand_1870.log,-9.5
ligand_1621.log,-6.9
ligand_1797.log,-9.3
ligand_1675.log,-8.2
ligand_1941.log,-8.3
ligand_1730.log,-9.1
ligand_161.log,-6.8
ligand_1795.log,-9.5
ligand_1539.log,-9.9
ligand_1872.log,-9.1
ligand_1998.log,-7.5
ligand_1682.log,-8.1
ligand_1616.log,-9.7
ligand_1957.log,-7.5
ligand_1741.log,-9.6
ligand_1947.log,-7.3
ligand_1619.log,-9.4
ligand_1798.log,-9.9
ligand_1538.log,-8.7
ligand_1670.log,-10.1
ligand_1866.log,-8.4
ligand_1955.log,-6.7
ligand_153.log,-6.5
ligand_1806.log,-8.2
ligand_1629.log,-8.1
ligand_1745.log,-9.4
ligand_1952.log,-7.6
ligand_1994.log,-8.0
ligand_1867.log,-8.6
ligand_1540.log,-8.8
ligand_1946.log,-7.0
ligand_1746.log,-11.1
ligand_1802.log,-6.4
ligand_1942.log,-8.6
ligand_1622.log,-9.6
ligand_167.log,-6.8
ligand_1574.log,-9.9
ligand_1868.log,-11.1
ligand_1748.log,-10.2
ligand_1674.log,-8.3
ligand_1627.log,-7.9
ligand_2002.log,-8.4
ligand_1943.log,-9.0
ligand_1807.log,-7.4
ligand_1743.log,-6.4
ligand_1564.log,-9.8
ligand_1754.log,-6.7
ligand_1672.log,-9.1
ligand_186.log,-8.9
ligand_1626.log,-8.0
ligand_1752.log,-9.3
ligand_1811.log,-8.2
ligand_1948.log,-8.5
ligand_1566.log,-9.0
ligand_2003.log,-9.3
ligand_1950.log,-7.8
ligand_1813.log,-8.4
ligand_1949.log,-7.0
ligand_1638.log,-8.9
ligand_1750.log,-9.9
ligand_1671.log,-9.7
ligand_1561.log,-8.6
ligand_1865.log,-9.1
ligand_1953.log,-7.7
ligand_1810.log,-8.4
ligand_1740.log,-9.0
ligand_1635.log,-9.7
ligand_194.log,-8.5
ligand_2005.log,-9.5
ligand_154.log,-7.9
ligand_1871.log,-9.2
ligand_1808.log,-8.9
ligand_1632.log,-9.1
ligand_1744.log,-8.9
ligand_1673.log,-9.3
ligand_1951.log,-6.6
ligand_1751.log,-9.0
ligand_155.log,-8.7
ligand_1956.log,-7.4
ligand_1809.log,-9.0
ligand_1634.log,-8.3
ligand_1679.log,-8.5
ligand_1742.log,-6.8
ligand_1878.log,-8.8
ligand_1568.log,-9.3
ligand_2022.log,-9.3
ligand_1954.log,-7.5
ligand_174.log,-5.4
ligand_1623.log,-7.9
ligand_1967.log,-7.7
ligand_1818.log,-9.2
ligand_1677.log,-8.6
ligand_1562.log,-9.8
ligand_1958.log,-7.0
ligand_1749.log,-9.7
ligand_1886.log,-9.1
ligand_1971.log,-8.9
ligand_1636.log,-9.7
ligand_2017.log,-10.3
ligand_1680.log,-8.0
ligand_180.log,-8.6
ligand_1753.log,-8.8
ligand_1885.log,-8.8
ligand_1965.log,-8.2
ligand_1573.log,-8.9
ligand_162.log,-7.5
ligand_1683.log,-8.3
ligand_1964.log,-7.7
ligand_1889.log,-8.8
ligand_1630.log,-9.0
ligand_1747.log,-9.2
ligand_1825.log,-9.5
ligand_195.log,-8.7
ligand_1676.log,-9.2
ligand_156.log,-6.7
ligand_2008.log,-10.4
ligand_1569.log,-9.4
ligand_1756.log,-6.8
ligand_1899.log,-7.2
ligand_1631.log,-9.8
ligand_1678.log,-7.7
ligand_1968.log,-7.4
ligand_1815.log,-8.1
ligand_1567.log,-8.0
ligand_1755.log,-7.5
ligand_1891.log,-7.9
ligand_2006.log,-8.8
ligand_1962.log,-6.8
ligand_1979.log,-8.8
ligand_1681.log,-7.3
ligand_1972.log,-9.1
ligand_1767.log,-9.7
ligand_1625.log,-9.1
ligand_1570.log,-8.1
ligand_1821.log,-9.1
ligand_1900.log,-7.7
ligand_1959.log,-7.2
ligand_1684.log,-8.0
ligand_1624.log,-7.9
ligand_1888.log,-9.0
ligand_1966.log,-9.5
ligand_1812.log,-8.8
ligand_1639.log,-9.5
ligand_2011.log,-8.4
ligand_1970.log,-9.3
ligand_1759.log,-6.9
ligand_1685.log,-7.8
ligand_1769.log,-10.0
ligand_1892.log,-8.9
ligand_1572.log,-8.2
ligand_1961.log,-7.4
ligand_1646.log,-8.3
ligand_1823.log,-9.7
ligand_1686.log,-8.1
ligand_201.log,-9.1
ligand_1960.log,-7.8
ligand_1643.log,-8.1
ligand_188.log,-7.6
ligand_1969.log,-8.7
ligand_1688.log,-6.8
ligand_2014.log,-8.3
ligand_1576.log,-7.7
ligand_1649.log,-8.8
ligand_1826.log,-9.5
ligand_1963.log,-6.8
ligand_1763.log,-9.3
ligand_1890.log,-7.4
ligand_1578.log,-8.8
ligand_1974.log,-9.2
ligand_168.log,-6.6
ligand_1640.log,-9.2
ligand_1816.log,-8.5
ligand_1689.log,-7.2
ligand_2013.log,-8.0
ligand_1973.log,-9.5
ligand_1904.log,-8.5
ligand_163.log,-8.8
ligand_1577.log,-9.0
ligand_1641.log,-8.9
ligand_1978.log,-8.9
ligand_175.log,-4.9
ligand_1901.log,-7.5
ligand_1693.log,-7.4
ligand_1814.log,-9.0
ligand_1887.log,-9.4
ligand_1645.log,-8.4
ligand_1981.log,-8.8
ligand_200.log,-9.0
ligand_1579.log,-8.9
ligand_1768.log,-8.5
ligand_1690.log,-9.7
ligand_1990.log,-9.4
ligand_1648.log,-8.1
ligand_1827.log,-10.1
ligand_2007.log,-9.1
ligand_189.log,-9.0
ligand_1583.log,-7.8
ligand_1692.log,-8.4
ligand_1650.log,-8.7
ligand_1833.log,-8.9
ligand_1585.log,-7.7
ligand_1699.log,-9.2
ligand_1902.log,-8.6
ligand_2010.log,-8.4
ligand_1644.log,-8.8
ligand_197.log,-8.3
ligand_1591.log,-8.8
ligand_1762.log,-7.8
ligand_1903.log,-8.5
ligand_1651.log,-8.2
ligand_1832.log,-7.3
ligand_1764.log,-9.0
ligand_1908.log,-8.4
ligand_1588.log,-8.8
ligand_2009.log,-9.1
ligand_1977.log,-8.4
ligand_1642.log,-7.0
ligand_1905.log,-9.9
ligand_1687.log,-6.9
ligand_182.log,-7.1
ligand_1976.log,-8.4
ligand_1911.log,-8.3
ligand_1975.log,-8.9
ligand_2012.log,-7.7
ligand_1586.log,-7.7
ligand_1701.log,-8.0
ligand_1914.log,-9.6
ligand_1652.log,-9.0
ligand_1835.log,-9.5
ligand_1757.log,-7.1
ligand_198.log,-8.1
ligand_1575.log,-9.5
ligand_1695.log,-8.2
ligand_1766.log,-8.8
ligand_2060.log,-9.5
ligand_1916.log,-6.8
ligand_1844.log,-6.7
ligand_2025.log,-8.8
ligand_1702.log,-10.3
ligand_1980.log,-8.7
ligand_1912.log,-9.0
ligand_1587.log,-9.5
ligand_1765.log,-8.9
ligand_183.log,-8.4
ligand_1694.log,-8.0
ligand_2063.log,-8.9
ligand_1.log,-7.9
ligand_190.log,-8.1
ligand_1839.log,-7.8
ligand_2024.log,-9.2
ligand_169.log,-6.4
ligand_1584.log,-7.7
ligand_1992.log,-7.7
ligand_1761.log,-6.8
ligand_1906.log,-7.7
ligand_1700.log,-8.4
ligand_206.log,-8.5
ligand_1910.log,-6.8
ligand_1582.log,-9.1
ligand_1758.log,-8.7
ligand_1838.log,-10.4
ligand_1706.log,-9.5
ligand_2023.log,-10.4
ligand_1907.log,-7.3
ligand_1771.log,-9.4
ligand_191.log,-7.3
