filename,affinity_qvina
ligand_1266.log,45.1
ligand_1411.log,35.2
ligand_1513.log,38.5
ligand_1362.log,57.1
ligand_1469.log,97.0
ligand_1129.log,47.3
ligand_1307.log,42.1
ligand_1383.log,89.0
ligand_1504.log,34.2
ligand_1274.log,77.9
ligand_1410.log,33.6
ligand_155.log,69.3
ligand_1133.log,56.9
ligand_1312.log,36.4
ligand_1466.log,85.7
ligand_1387.log,89.1
ligand_150.log,63.2
ligand_1559.log,60.5
ligand_1412.log,37.3
ligand_1270.log,35.1
ligand_1128.log,49.8
ligand_1388.log,95.8
ligand_1483.log,41.3
ligand_130.log,50.1
ligand_1510.log,44.0
ligand_1317.log,29.2
ligand_1431.log,66.9
ligand_1547.log,105.5
ligand_1137.log,50.7
ligand_1381.log,50.1
ligand_1467.log,87.1
ligand_1605.log,65.9
ligand_1518.log,44.7
ligand_1127.log,45.3
ligand_1417.log,59.5
ligand_1386.log,95.4
ligand_1308.log,33.5
ligand_1548.log,90.9
ligand_1463.log,48.0
ligand_1517.log,36.8
ligand_1132.log,73.3
ligand_1596.log,53.1
ligand_154.log,78.7
ligand_1380.log,69.5
ligand_147.log,98.6
ligand_1315.log,48.9
ligand_1428.log,91.4
ligand_1530.log,37.1
ligand_1130.log,44.7
ligand_1391.log,75.4
ligand_1465.log,71.3
ligand_1550.log,86.2
ligand_1305.log,55.6
ligand_1524.log,49.7
ligand_1608.log,53.3
ligand_142.log,108.2
ligand_1131.log,50.5
ligand_1470.log,74.4
ligand_1393.log,73.8
ligand_1557.log,44.1
ligand_1525.log,49.4
ligand_1430.log,65.9
ligand_1309.log,24.8
ligand_1486.log,35.1
ligand_1607.log,51.3
ligand_192.log,70.0
ligand_1390.log,87.1
ligand_1553.log,117.7
ligand_1519.log,58.8
ligand_255.log,21.0
ligand_1416.log,66.5
ligand_18.log,31.0
ligand_1484.log,28.0
ligand_253.log,23.3
ligand_138.log,104.1
ligand_1604.log,70.5
ligand_1561.log,54.6
ligand_1526.log,56.1
ligand_190.log,68.3
ligand_258.log,14.6
ligand_1482.log,20.1
ligand_1432.log,47.4
ligand_1392.log,73.4
ligand_254.log,23.4
ligand_19.log,87.1
ligand_1565.log,69.8
ligand_1599.log,64.0
ligand_1415.log,62.7
ligand_152.log,59.9
ligand_1487.log,31.5
ligand_256.log,21.4
ligand_1394.log,83.7
ligand_1523.log,58.0
ligand_1566.log,36.7
ligand_251.log,18.4
ligand_1468.log,93.4
ligand_191.log,66.8
ligand_1601.log,44.9
ligand_1413.log,62.1
ligand_252.log,33.1
ligand_1395.log,86.4
ligand_1569.log,30.8
ligand_1527.log,38.2
ligand_257.log,27.9
