filename,affinity_qvina
ligand_1516.log,-7.3
ligand_131.log,-4.2
ligand_1467.log,-0.7
ligand_1397.log,-10.4
ligand_1518.log,-5.5
ligand_1394.log,-9.9
ligand_1120.log,-0.7
ligand_1193.log,-4.1
ligand_1029.log,-7.0
ligand_1261.log,-7.4
ligand_1468.log,7.2
ligand_1396.log,-9.8
ligand_1525.log,-1.5
ligand_1315.log,-5.8
ligand_1461.log,1.3
ligand_1255.log,0.5
ligand_1411.log,-8.3
ligand_1116.log,-5.7
ligand_102.log,-7.6
ligand_1265.log,-7.7
ligand_1186.log,-7.3
ligand_1406.log,-9.8
ligand_1318.log,-7.4
ligand_1117.log,-6.2
ligand_1264.log,-7.8
ligand_1463.log,1.7
ligand_1188.log,-1.7
ligand_1401.log,-7.6
ligand_1329.log,-8.8
ligand_1121.log,-4.3
ligand_1515.log,-6.0
ligand_1035.log,-6.5
ligand_1263.log,-0.9
ligand_1122.log,-6.5
ligand_1399.log,5.4
ligand_132.log,-7.0
ligand_1519.log,-5.3
ligand_1466.log,1.9
ligand_1194.log,0.2
ligand_1030.log,-2.7
ligand_1266.log,-8.3
ligand_1330.log,-1.6
ligand_1124.log,2.6
ligand_1522.log,-4.3
ligand_1258.log,15.2
ligand_1334.log,-8.5
ligand_1191.log,-8.7
ligand_146.log,-3.5
ligand_1126.log,-0.9
ligand_1326.log,12.3
ligand_1527.log,-0.7
ligand_139.log,-4.4
ligand_1267.log,-7.6
ligand_1039.log,2.5
ligand_1127.log,-6.2
ligand_1327.log,3.3
ligand_1271.log,-4.9
ligand_1195.log,-6.5
ligand_151.log,-2.9
ligand_1044.log,-8.5
ligand_1331.log,-6.0
ligand_1125.log,-4.7
ligand_1465.log,1.3
ligand_126.log,-0.2
ligand_140.log,-4.8
ligand_1184.log,-5.6
ligand_1041.log,-1.7
ligand_1335.log,-7.5
ligand_1196.log,6.0
ligand_1136.log,-7.0
ligand_1517.log,-1.3
ligand_1338.log,-6.7
ligand_1269.log,-6.9
ligand_1131.log,-5.6
ligand_1404.log,-8.2
ligand_1043.log,-9.3
ligand_1200.log,3.6
ligand_1273.log,-4.8
ligand_1038.log,-5.6
ligand_1410.log,-8.8
ligand_1336.log,-7.1
ligand_1523.log,-5.5
ligand_1469.log,8.1
ligand_1130.log,-6.4
ligand_1270.log,-5.7
ligand_1402.log,-9.7
ligand_1328.log,-7.6
ligand_1407.log,-9.1
ligand_1197.log,-2.0
ligand_1135.log,-1.9
ligand_1274.log,-8.0
ligand_1408.log,-8.6
ligand_1337.log,-6.3
ligand_1042.log,7.5
