LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
196,1,18.253,26.256,44.225,-8.003,44.225
196,2,222.407,319.921,13.502,-97.514,13.502
197,1,102.428,156.319,255.745,-53.891,255.745
200,1,26.171,36.88,6.671,-10.71,6.671
204,1,67.797,105.45,29.522,-37.652,29.522
204,2,-6.714,-7.106,0.0,0.392,0.0
205,1,108.326,200.151,612.536,-91.825,612.536
205,2,7.514,10.589,9.213,-3.075,9.213
206,1,36.407,50.241,9.555,-13.834,9.555
207,1,140.442,202.019,7.521,-61.577,7.521
209,1,16.862,26.227,4.473,-9.365,4.473
209,2,46.954,64.797,18.616,-17.842,18.616
210,1,12.671,18.598,6.95,-5.926,6.95
210,2,26.098,43.644,5.322,-17.546,5.322
211,1,-10.607,-11.227,0.0,0.62,0.0
211,2,11.989,17.246,10.189,-5.257,10.189
212,1,4.199,6.04,16.256,-1.841,16.256
214,1,147.675,290.122,1069.202,-142.446,1069.202
216,1,-6.795,-7.788,11.057,0.993,11.057
216,2,19.63,26.516,27.22,-6.886,27.22
217,1,-8.064,-9.713,-0.264,1.65,-0.264
217,2,360.903,751.223,275.607,-390.32,275.607
217,3,13.04,18.758,28.458,-5.717,28.458
220,1,-7.861,-9.01,6.176,1.149,6.176
225,1,55.121,80.9,18.796,-25.779,18.796
225,2,36.608,45.168,22.549,-8.56,22.549
231,1,-9.293,-10.38,0.519,1.087,0.519
235,1,19.537,27.532,9.281,-7.995,9.281
236,1,37.174,67.599,-0.414,-30.425,-0.414
236,2,46.395,69.448,24.332,-23.054,24.332
236,3,72.571,102.268,6.992,-29.697,6.992
239,1,148.949,209.901,48.247,-60.953,48.247
239,2,15.171,22.266,5.928,-7.095,5.928
241,1,100.448,156.233,345.456,-55.786,345.456
241,2,135.899,175.623,62.789,-39.723,62.789
242,1,-5.427,-6.379,1.434,0.952,1.434
242,2,147.214,207.456,29.338,-60.243,29.338
243,1,25.178,34.01,11.941,-8.832,11.941
243,2,62.329,76.905,42.395,-14.575,42.395
244,1,68.176,86.111,84.975,-17.935,84.975
245,1,1.511,2.217,20.874,-0.706,20.874
245,2,74.747,105.335,24.312,-30.588,24.312
246,1,2.458,3.607,48.924,-1.149,48.924
246,2,8.254,11.874,30.667,-3.619,30.667
248,1,3.4,4.791,27.1,-1.391,27.1
248,2,45.728,64.441,35.979,-18.713,35.979
249,1,37.861,54.462,14.177,-16.6,14.177
249,2,19.842,25.642,12.649,-5.8,12.649
249,3,18.775,30.849,36.384,-12.074,36.384
250,1,14.032,19.364,53.821,-5.332,53.821
250,2,19.356,25.013,9.51,-5.658,9.51
252,1,-1.997,-2.698,16.475,0.701,16.475
252,2,-7.934,-9.094,4.302,1.16,4.302
252,3,38.565,54.346,10.941,-15.781,10.941
253,1,-1.964,-2.653,15.028,0.689,15.028
253,2,122.293,168.764,9.289,-46.47,9.289
255,1,-5.588,-6.241,0.418,0.653,0.418
