LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
335,3,-3.313,-4.959,-0.693,1.646,-0.693
336,1,-7.317,-10.525,-0.178,3.208,-0.178
337,1,-6.899,-9.319,-0.778,2.42,-0.778
337,2,-5.083,-7.609,-0.882,2.526,-0.882
340,1,-6.863,-10.073,-0.035,3.21,-0.035
340,2,-6.118,-9.516,-0.111,3.398,-0.111
341,1,222.206,345.613,0.411,-123.407,0.411
345,1,-7.112,-8.151,0.84,1.039,0.84
345,2,-8.002,-11.978,-0.868,3.976,-0.868
349,1,-8.025,-12.012,-0.839,3.988,-0.839
353,1,-7.564,-9.112,-0.413,1.548,-0.413
353,2,-3.951,-5.106,1.529,1.155,1.529
354,1,-7.391,-10.415,-0.931,3.024,-0.931
354,2,-7.91,-12.303,0.253,4.393,0.253
354,3,-7.84,-10.132,0.231,2.292,0.231
357,1,-6.705,-8.077,-0.712,1.372,-0.712
358,1,215.383,284.635,2.061,-69.252,2.061
358,2,178.665,220.445,1.906,-41.779,1.906
361,1,-7.121,-8.786,-0.224,1.665,-0.224
363,1,-7.524,-10.163,0.621,2.639,0.621
363,2,-5.909,-7.118,-0.357,1.209,-0.357
363,3,-7.951,-12.367,1.005,4.416,1.005
363,4,-4.798,-7.883,1.264,3.085,1.264
364,1,-7.687,-11.507,-0.603,3.82,-0.603
364,2,-7.622,-11.633,-0.193,4.01,-0.193
365,1,1.391,2.083,0.147,-0.691,0.147
365,2,193.297,261.098,-0.169,-67.801,-0.169
366,1,-5.758,-6.936,-0.79,1.178,-0.79
366,2,-7.405,-11.085,-0.524,3.68,-0.524
369,1,-4.552,-6.681,-1.29,2.129,-1.29
369,2,-7.164,-9.676,-0.829,2.513,-0.829
369,3,-3.209,-4.898,-0.514,1.689,-0.514
374,1,-4.688,-6.332,0.337,1.644,0.337
374,2,-5.9,-7.796,-0.405,1.897,-0.405
374,3,-3.215,-4.813,-0.884,1.598,-0.884
374,4,0.753,1.127,2.74,-0.374,2.74
375,1,-8.603,-13.129,-0.515,4.526,-0.515
375,2,-6.952,-10.0,-0.141,3.048,-0.141
376,1,-6.239,-7.333,0.04,1.094,0.04
376,2,-6.501,-10.682,0.189,4.181,0.189
376,3,-7.614,-10.73,0.734,3.116,0.734
379,1,-7.265,-8.115,-0.059,0.849,-0.059
379,2,-7.419,-11.322,-0.409,3.903,-0.409
382,1,-5.587,-7.22,-1.006,1.633,-1.006
382,2,-5.581,-8.191,1.818,2.61,1.818
385,1,-4.325,-5.589,-0.393,1.264,-0.393
385,2,-2.121,-3.175,3.202,1.054,3.202
385,3,-6.432,-8.312,-0.108,1.88,-0.108
385,4,-3.395,-5.181,3.097,1.786,3.097
388,1,-6.917,-8.939,1.367,2.022,1.367
388,2,-4.998,-7.189,-1.051,2.191,-1.051
390,1,29.574,38.218,15.251,-8.644,15.251
390,2,-7.633,-10.756,2.339,3.123,2.339
391,1,-0.439,-0.439,0.0,0.0,0.0
393,1,-7.431,-8.299,0.354,0.869,0.354
395,1,-6.294,-9.238,1.292,2.944,1.292
396,1,-6.811,-9.598,0.575,2.787,0.575
396,2,-5.577,-7.207,-0.325,1.63,-0.325
399,1,-3.655,-5.364,0.039,1.709,0.039
399,2,-6.474,-8.366,-0.87,1.892,-0.87
402,1,-4.999,-6.46,-0.436,1.461,-0.436
402,2,-1.632,-2.109,5.648,0.477,5.648
407,1,-5.19,-6.404,-0.93,1.214,-0.93
408,1,-7.012,-10.087,-0.086,3.075,-0.086
408,2,-6.377,-8.241,-0.158,1.864,-0.158
409,1,-7.853,-10.149,-0.443,2.296,-0.443
409,2,-2.194,-2.836,-0.103,0.641,-0.103
409,3,-5.332,-8.293,0.467,2.961,0.467
411,1,-0.403,-0.403,0.0,0.0,0.0
413,1,-4.426,-5.72,-0.349,1.294,-0.349
419,1,-1.897,-3.227,-1.082,1.331,-1.082
421,1,-7.606,-11.163,-0.55,3.557,-0.55
427,1,-7.554,-11.529,-0.229,3.975,-0.229
429,1,-8.821,-12.43,-0.084,3.61,-0.084
431,1,117.477,151.816,1.548,-34.339,1.548
433,1,-4.376,-6.167,1.372,1.791,1.372
435,1,-6.209,-8.024,-0.904,1.815,-0.904
435,2,-6.648,-10.146,-1.245,3.498,-1.245
436,1,-5.134,-8.136,1.225,3.002,1.225
437,1,-6.071,-9.265,-0.466,3.194,-0.466
438,1,-8.381,-14.996,0.301,6.615,0.301
441,1,-5.426,-7.646,-1.008,2.22,-1.008
442,1,-8.562,-16.07,2.513,7.508,2.513
444,1,-7.508,-11.458,-0.445,3.95,-0.445
445,1,-5.305,-6.856,-0.303,1.551,-0.303
445,2,-5.603,-7.241,-0.421,1.638,-0.421
446,1,-4.964,-7.575,-0.013,2.612,-0.013
448,1,-3.991,-6.09,-1.218,2.1,-1.218
448,2,-5.126,-8.122,2.226,2.996,2.226
449,1,-5.865,-8.265,-1.323,2.4,-1.323
449,2,-5.37,-7.881,0.329,2.511,0.329
451,1,-5.375,-8.517,0.54,3.142,0.54
451,2,-5.452,-8.64,2.954,3.187,2.954
452,1,-4.414,-6.478,-1.947,2.064,-1.947
452,2,-8.578,-12.589,-0.948,4.012,-0.948
456,1,-6.956,-11.023,-0.707,4.067,-0.707
456,2,-5.558,-8.482,-0.003,2.924,-0.003
456,3,-4.938,-7.536,-1.038,2.598,-1.038
456,4,-9.449,-13.315,-0.017,3.867,-0.017
457,1,-7.976,-11.24,1.293,3.264,1.293
457,2,-4.404,-6.721,0.565,2.317,0.565
459,1,-7.467,-11.833,-0.817,4.365,-0.817
459,2,-5.966,-9.454,3.767,3.488,3.767
462,1,-5.09,-7.173,-0.16,2.083,-0.16
466,1,38.817,54.702,-0.038,-15.885,-0.038
467,1,-1.952,-3.093,2.33,1.141,2.33
467,2,-4.355,-6.138,0.278,1.782,0.278
470,1,-0.957,-1.349,1.059,0.392,1.059
471,1,26.357,37.143,0.665,-10.786,0.665
472,1,-4.839,-6.819,-1.296,1.98,-1.296
474,1,-6.83,-10.423,0.474,3.593,0.474
476,1,145.439,221.96,2.163,-76.521,2.163
476,2,-7.681,-10.375,-1.097,2.694,-1.097
477,1,0.0,0.0,-1.577,0.0,-1.577
477,2,-6.582,-8.121,-0.825,1.539,-0.825
478,1,-5.26,-6.952,2.232,1.691,2.232
478,2,-6.912,-10.144,-1.776,3.233,-1.776
483,1,5.148,6.804,-0.882,-1.655,-0.882
486,1,-8.275,-11.177,1.056,2.903,1.056
489,1,-7.784,-14.154,-0.668,6.37,-0.668
489,2,326.192,507.349,0.381,-181.157,0.381
491,1,-7.841,-9.674,-0.331,1.834,-0.331
492,1,-6.874,-8.08,-0.381,1.206,-0.381
494,1,-7.602,-8.935,-0.143,1.333,-0.143
496,1,-6.939,-8.561,0.323,1.623,0.323
496,2,-7.527,-8.847,0.223,1.32,0.223
498,1,-8.166,-9.598,-0.26,1.432,-0.26
499,1,-6.057,-9.067,-0.78,3.01,-0.78
501,1,67.186,104.498,-0.579,-37.313,-0.579
503,1,-8.094,-9.04,-0.035,0.946,-0.035
503,2,-0.45,-0.818,2.495,0.368,2.495
503,3,-8.109,-11.902,-1.281,3.793,-1.281
505,1,-6.384,-8.997,-0.875,2.613,-0.875
505,2,-7.439,-12.005,-1.565,4.566,-1.565
507,1,-8.738,-13.336,-1.99,4.598,-1.99
507,2,-7.54,-11.507,-1.247,3.967,-1.247
508,1,-7.765,-11.396,0.094,3.631,0.094
510,1,-6.491,-8.768,-0.973,2.277,-0.973
510,2,-5.956,-9.089,-1.584,3.134,-1.584
513,1,-5.917,-8.338,-0.049,2.421,-0.049
515,1,-6.363,-8.967,0.484,2.604,0.484
515,2,-6.264,-8.095,-1.448,1.831,-1.448
515,3,-6.421,-9.8,-2.199,3.379,-2.199
516,1,-8.674,-10.703,-0.926,2.028,-0.926
516,2,-8.315,-12.689,-1.59,4.375,-1.59
517,1,1.443,1.864,-1.61,-0.422,-1.61
518,1,-6.329,-7.809,-0.452,1.48,-0.452
518,2,27.231,39.966,1.245,-12.735,1.245
520,1,-7.177,-10.533,-1.639,3.356,-1.639
523,1,-4.158,-5.86,1.576,1.702,1.576
523,2,-4.888,-8.888,-1.98,4.0,-1.98
524,1,-7.955,-11.211,-0.519,3.255,-0.519
525,1,-6.781,-10.151,-0.312,3.37,-0.312
527,1,-6.843,-11.443,1.146,4.6,1.146
527,2,-5.13,-7.379,-0.383,2.249,-0.383
527,3,-7.098,-9.588,0.091,2.49,0.091
528,1,-8.233,-10.639,2.656,2.406,2.656
534,1,-4.709,-6.636,-0.107,1.927,-0.107
535,1,-6.97,-9.008,4.695,2.037,4.695
535,2,-5.613,-7.254,0.7,1.641,0.7
535,3,-5.837,-8.225,-0.494,2.388,-0.494
537,1,-0.76,-1.227,2.084,0.467,2.084
540,1,-6.101,-8.241,-0.437,2.14,-0.437
541,1,-6.985,-9.435,0.773,2.45,0.773
542,1,-9.657,-14.456,-0.606,4.799,-0.606
543,1,-6.319,-8.535,-1.404,2.216,-1.404
546,1,22.792,31.452,6.74,-8.661,6.74
546,2,-5.807,-7.843,1.061,2.037,1.061
547,1,27.204,37.541,4.195,-10.337,4.195
547,2,-6.121,-9.699,-0.526,3.578,-0.526
548,1,-7.17,-9.265,0.168,2.096,0.168
548,2,1.734,2.748,-0.233,-1.014,-0.233
549,1,-4.022,-6.138,1.514,2.116,1.514
551,1,-3.702,-5.218,-0.144,1.515,-0.144
551,2,-7.08,-9.978,-0.213,2.897,-0.213
553,1,-7.37,-8.231,-0.079,0.862,-0.079
553,2,-6.93,-10.779,-0.992,3.849,-0.992
554,1,-6.694,-7.868,0.52,1.174,0.52
554,2,-0.36,-0.36,0.0,0.0,0.0
555,1,-8.802,-11.89,-0.934,3.088,-0.934
557,1,-5.055,-6.68,-0.747,1.625,-0.747
557,2,-3.476,-5.915,3.196,2.439,3.196
557,3,1.029,1.39,2.59,-0.361,2.59
559,1,-6.419,-8.108,-0.605,1.689,-0.605
561,1,-6.976,-8.607,-1.127,1.631,-1.127
562,1,-5.811,-9.039,-0.65,3.227,-0.65
562,2,-3.828,-5.842,2.572,2.014,2.572
562,3,-6.609,-8.154,-0.769,1.545,-0.769
564,1,-7.219,-9.751,-0.628,2.532,-0.628
564,2,-6.855,-8.858,-0.672,2.004,-0.672
