LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
430,2,0.419,0.517,2.114,-0.098,2.114
430,3,-2.458,-3.32,-0.12,0.862,-0.12
431,1,44.437,57.427,0.862,-12.989,0.862
431,2,2.826,5.882,3.883,-3.056,3.883
431,3,31.158,40.265,3.332,-9.107,3.332
433,1,-2.358,-3.461,-0.801,1.103,-0.801
433,2,0.332,0.546,3.139,-0.214,3.139
433,3,151.832,160.708,-0.121,-8.876,-0.121
434,1,-0.272,-0.399,1.671,0.127,1.671
434,2,44.317,54.68,4.957,-10.363,4.957
434,3,4.535,6.125,2.05,-1.591,2.05
435,1,263.743,356.254,1.687,-92.511,1.687
435,2,-5.372,-6.628,0.424,1.256,0.424
437,1,-2.78,-3.268,-0.297,0.488,-0.297
437,2,-2.754,-4.524,4.621,1.771,4.621
437,3,81.917,101.073,1.015,-19.156,1.015
439,1,369.978,543.009,4.063,-173.031,4.063
439,2,-4.802,-6.486,1.53,1.684,1.53
439,3,50.083,67.651,-0.763,-17.567,-0.763
440,1,142.306,171.423,3.998,-29.117,3.998
440,2,65.504,101.883,0.173,-36.379,0.173
442,1,-0.623,-0.623,0.0,0.0,0.0
443,1,-0.819,-1.249,-1.285,0.431,-1.285
443,2,27.455,31.468,0.504,-4.013,0.504
443,3,3.034,4.986,3.935,-1.951,3.935
443,4,108.344,143.179,2.249,-34.836,2.249
447,1,-0.497,-0.497,0.0,0.0,0.0
447,2,61.97,90.953,5.394,-28.982,5.394
449,1,-8.145,-11.002,-0.709,2.857,-0.709
450,1,14.996,20.255,0.11,-5.26,0.11
453,1,9.431,12.739,0.062,-3.308,0.062
453,2,-8.501,-14.961,3.469,6.46,3.469
454,1,186.929,356.311,4.511,-169.382,4.511
454,2,54.628,61.015,2.958,-6.387,2.958
458,1,-0.881,-0.984,-0.693,0.103,-0.693
459,1,86.88,104.657,1.096,-17.777,1.096
459,2,-1.464,-2.063,1.103,0.599,1.103
459,3,-2.04,-2.278,-0.344,0.238,-0.344
461,1,138.968,171.464,-0.217,-32.496,-0.217
463,1,270.632,318.096,1.013,-47.464,1.013
465,1,92.921,133.663,4.817,-40.741,4.817
465,2,1.85,2.282,6.464,-0.433,6.464
465,3,216.878,280.272,-0.695,-63.393,-0.695
467,1,14.244,22.155,-0.219,-7.911,-0.219
467,2,284.847,301.499,-0.104,-16.652,-0.104
468,1,51.199,66.164,-0.128,-14.965,-0.128
468,2,-3.585,-4.738,2.203,1.153,2.203
469,1,56.033,72.411,2.716,-16.378,2.716
470,1,9.544,12.334,16.778,-2.79,16.778
471,1,-8.442,-9.923,1.053,1.481,1.053
471,2,-2.818,-6.113,5.919,3.295,5.919
472,1,-2.763,-3.248,-0.689,0.485,-0.689
473,1,-4.514,-5.437,-0.781,0.924,-0.781
473,2,163.797,580.333,18.633,-416.537,18.633
475,1,49.158,69.274,1.36,-20.116,1.36
476,1,64.939,83.921,0.379,-18.982,0.379
476,2,165.249,310.155,0.031,-144.907,0.031
477,1,-6.656,-8.601,-0.799,1.945,-0.799
478,1,287.904,304.735,-0.146,-16.831,-0.146
479,1,86.125,121.368,1.263,-35.244,1.263
480,1,295.91,417.003,1.808,-121.092,1.808
481,1,42.092,59.317,2.349,-17.225,2.349
482,1,2.568,3.168,1.957,-0.6,1.957
482,2,251.127,309.85,0.319,-58.723,0.319
482,3,-3.162,-4.456,2.008,1.294,2.008
484,1,95.114,134.036,3.517,-38.923,3.517
486,1,-4.677,-6.591,-0.966,1.914,-0.966
487,1,-1.116,-1.116,0.0,0.0,0.0
487,2,102.889,141.986,4.13,-39.097,4.13
488,1,0.405,0.405,0.0,0.0,0.0
488,2,107.28,173.131,6.313,-65.851,6.313
489,1,91.837,118.681,-0.645,-26.844,-0.645
492,1,80.564,106.468,0.859,-25.904,0.859
496,1,3.851,5.653,-1.258,-1.801,-1.258
499,1,109.32,147.666,18.155,-38.345,18.155
499,2,0.103,0.148,3.861,-0.045,3.861
500,1,127.813,165.172,1.099,-37.36,1.099
501,1,-6.237,-7.33,0.128,1.094,0.128
501,2,91.55,118.31,0.374,-26.76,0.374
506,1,86.74,124.771,0.914,-38.031,0.914
506,2,1.187,2.297,5.718,-1.11,5.718
508,1,-3.154,-3.892,-0.715,0.738,-0.715
508,2,3.616,5.413,4.272,-1.797,4.272
510,1,28.596,41.134,1.245,-12.538,1.245
510,2,-1.955,-2.527,-0.001,0.572,-0.001
511,1,-1.084,-1.717,-0.062,0.634,-0.062
512,1,20.643,31.504,18.716,-10.861,18.716
512,2,-3.022,-4.347,5.059,1.325,5.059
513,1,-4.479,-6.443,0.412,1.964,0.412
513,2,-8.883,-13.556,-0.004,4.673,-0.004
518,1,-5.517,-6.807,-0.026,1.29,-0.026
518,2,-2.067,-2.793,1.15,0.725,1.15
521,1,78.007,100.809,7.325,-22.801,7.325
523,1,71.105,83.575,0.59,-12.47,0.59
528,1,-8.046,-10.397,-0.35,2.352,-0.35
528,2,47.003,53.873,-0.032,-6.869,-0.032
528,3,3.094,3.908,0.469,-0.814,0.469
528,4,10.827,14.624,-0.927,-3.798,-0.927
532,1,0.588,0.691,-0.628,-0.103,-0.628
538,1,164.592,304.111,3.333,-139.519,3.333
541,1,83.662,122.79,4.088,-39.127,4.088
544,1,224.291,407.86,5.54,-183.569,5.54
544,2,30.254,39.097,-0.178,-8.843,-0.178
546,1,23.911,35.093,-0.1,-11.183,-0.1
546,2,86.452,136.992,4.056,-50.54,4.056
546,3,154.182,325.439,-0.405,-171.257,-0.405
548,1,87.359,128.215,-1.036,-40.856,-1.036
549,1,-0.001,-0.003,37.92,0.002,37.92
552,1,64.964,83.953,-0.374,-18.989,-0.374
552,2,-2.074,-2.862,-0.078,0.788,-0.078
552,3,-4.548,-6.144,0.419,1.595,0.419
553,1,24.337,30.74,0.087,-6.402,0.087
554,1,10.224,15.604,1.127,-5.379,1.127
554,2,-5.631,-7.442,-0.302,1.811,-0.302
554,3,74.698,98.716,-0.437,-24.018,-0.437
555,1,-2.656,-3.51,-0.682,0.854,-0.682
556,1,147.152,194.465,-0.809,-47.314,-0.809
558,1,92.759,117.161,0.877,-24.402,0.877
560,1,-6.076,-8.739,-0.821,2.664,-0.821
560,2,37.783,49.931,0.875,-12.148,0.875
560,3,42.046,60.482,0.063,-18.435,0.063
561,1,36.826,46.514,1.325,-9.688,1.325
564,1,6.952,9.797,1.612,-2.845,1.612
565,1,98.929,139.413,3.449,-40.484,3.449
565,2,-4.213,-5.567,-0.121,1.354,-0.121
566,1,55.374,78.035,1.128,-22.66,1.128
566,2,12.893,19.677,6.789,-6.784,6.789
567,1,4.459,5.502,-0.637,-1.043,-0.637
572,1,3.197,3.851,2.479,-0.654,2.479
574,1,1.116,397.709,1.126,-167.919,1.126
574,2,305.927,440.061,3.484,-134.134,3.484
576,1,-7.725,-11.79,3.146,4.065,3.146
576,2,248.225,349.804,5.929,-101.579,5.929
577,1,-0.408,-0.61,28.183,0.203,28.183
580,1,-6.64,-10.134,-0.273,3.494,-0.273
580,2,-0.326,-0.498,7.864,0.172,7.864
580,3,-3.12,-4.67,-1.686,1.55,-1.686
581,1,96.078,149.436,1.108,-53.359,1.108
581,2,10.573,15.827,0.017,-5.254,0.017
583,1,18.263,22.0,-0.528,-3.737,-0.528
583,2,77.379,106.782,0.564,-29.403,0.564
584,1,-3.418,-5.116,-0.771,1.698,-0.771
588,1,8.597,15.382,0.181,-6.785,0.181
588,2,150.646,207.89,0.946,-57.244,0.946
594,1,-1.572,-3.133,5.458,1.562,5.458
594,2,6.648,7.62,0.107,-0.972,0.107
599,1,-0.65,-0.65,0.0,0.0,0.0
599,2,86.407,106.612,-0.449,-20.205,-0.449
600,1,300.784,432.663,6.588,-131.879,6.588
600,2,-5.976,-9.819,2.124,3.843,2.124
601,1,5.388,7.75,10.787,-2.362,10.787
602,1,124.117,131.373,-0.435,-7.256,-0.435
602,2,-6.212,-7.301,-0.397,1.089,-0.397
603,1,132.909,183.413,12.129,-50.504,12.129
603,2,-4.225,-4.472,-0.361,0.247,-0.361
