pValue,ligand,data
5.4,Cc1ccc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1,CYP3a4_ki
6.27,COc1ccc(NC(=O)c2cc(-c3ccncc3)nc3ccccc23)cc1,CYP3a4_ki
6.1,CN(C)c1ccc(NC(=O)c2cc(-c3ccncc3)nc3ccccc23)cc1,CYP3a4_ki
6.16,O=C(Nc1ccccc1)c1cc(-c2ccncc2)nc2ccccc12,CYP3a4_ki
6.27,Cc1ccc(NC(=O)c2cc(-c3ccncc3)nc3ccccc23)cc1,CYP3a4_ki
4.92,COc1ccc(NC(=O)c2cc(-c3ccccn3)nc3ccccc23)cc1,CYP3a4_ki
4.48,CN(C)c1ccc(NC(=O)c2cc(-c3ccccn3)nc3ccccc23)cc1,CYP3a4_ki
4.84,O=C(Nc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,CYP3a4_ki
5.41,Cc1ccc(NC(=O)c2cc(-c3ccccn3)nc3ccccc23)cc1,CYP3a4_ki
4.7,COc1ccc(NC(=O)c2cc(-c3cnccn3)nc3ccccc23)cc1,CYP3a4_ki
4.8,CN(C)c1ccc(NC(=O)c2cc(-c3cnccn3)nc3ccccc23)cc1,CYP3a4_ki
5.16,O=C(Nc1ccccc1)c1cc(-c2cnccn2)nc2ccccc12,CYP3a4_ki
5.57,Cc1ccc(NC(=O)c2cc(-c3cnccn3)nc3ccccc23)cc1,CYP3a4_ki
5.66,COc1ccc(NC(=O)c2cc(-c3ccncn3)nc3ccccc23)cc1,CYP3a4_ki
5.08,CN(C)c1ccc(NC(=O)c2cc(-c3ccncn3)nc3ccccc23)cc1,CYP3a4_ki
5.66,O=C(Nc1ccccc1)c1cc(-c2ccncn2)nc2ccccc12,CYP3a4_ki
5.52,Cc1ccc(NC(=O)c2cc(-c3ccncn3)nc3ccccc23)cc1,CYP3a4_ki
4.11,Fc1ccc2[nH]ccc2c1-c1nc(N2CCOCC2)c2sc(CN3CCN4CCOC[C@@H]4C3)cc2n1,CYP3a4_ki
5.18,CC(C)(C(N)=O)N1CCN(Cc2cc3nc(-c4c(F)ccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,CYP3a4_ki
4.92,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,CYP3a4_ki
5.2,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CYP3a4_ki
5.77,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CYP3a4_ki
