pValue,ligand,data
5.46,C=CC1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccccc12,CYP2d6_ki
6.14,C=CC1CN2CCC1CC2C(=O)c1ccnc2ccc(OC)cc12,CYP2d6_ki
8.48,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,CYP2d6_ki
4.19,Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12,CYP2d6_ki
7.51,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@H]1O,CYP2d6_ki
5.46,C=CC1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(Cl)cc12,CYP2d6_ki
4.07,Cc1nccc2c1[nH]c1ccccc12,CYP2d6_ki
8.15,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]43C3CO3)C1CCC2=O,CYP2d6_ki
7.07,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@H]3CO3)[C@@H]1CCC2=O,CYP2d6_ki
9,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]43C3CS3)C1CCC2=O,CYP2d6_ki
6.12,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@@H]3CO3)[C@@H]1CCC2=O,CYP2d6_ki
7.89,Nc1ccc(SC[C@@H]2CO[C@](CCc3ccc(Cl)cc3)(Cn3ccnc3)O2)cc1,CYP2d6_ki
6.69,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@@H]3CS3)[C@@H]1CCC2=O,CYP2d6_ki
7.12,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C3CS3)C1CCC2=O,CYP2d6_ki
7.66,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C[C@H]3CS3)[C@@H]1CCC2=O,CYP2d6_ki
7.12,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C3CO3)C1CCC2=O,CYP2d6_ki
7.36,CCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CYP2d6_ki
5.39,CCCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CYP2d6_ki
5.58,CCCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,CYP2d6_ki
7,CCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,CYP2d6_ki
7.7,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CYP2d6_ki
9,CSC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
6.5,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
4.19,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CYP2d6_ki
5.52,CCC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
7.25,C/C=C/[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
7.92,C[C@]12CCC(=O)C=C1C[C@@H](Sc1ccc(I)cc1)C1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
4.6,C[C@]12CCC(=O)C=C1[C@H](Br)CC1C2CC[C@@]2(C)C1CC[C@@H]2OC(=O)CBr,CYP2d6_ki
8.64,CC1(C)C[C@@]2(C)C(=CC1=O)CCC1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
6.41,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)OC[C@@H]12,CYP2d6_ki
8.3,O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,CYP2d6_ki
4.48,C[C@]12CCC(=O)C=C1C[C@@H](Sc1ccc(NC(=O)CBr)cc1)C1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
8.33,C=C1C=C2CCC3C(CC[C@]4(C)C(=O)CCC34)[C@@]2(C)CC1,CYP2d6_ki
4.46,C[C@]12C=CC(=O)C=C1CCC1C2CC[C@]2(C)OC(=O)CCC12,CYP2d6_ki
5.96,C[C@@]12CCCC1C1CCC3=CC(=O)C=C[C@]3(C)C1CC2,CYP2d6_ki
8.52,C=C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
8.05,CC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
9,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C(F)F)C1CCC2=O,CYP2d6_ki
8.89,C[C@]12CCC(=O)C=C1C[C@@H](Sc1ccc(N=[N+]=[N-])cc1)C1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
6.75,C[C@]12C=CC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,CYP2d6_ki
8.82,N#Cc1ccc(C2CCCc3cncn32)cc1,CYP2d6_ki
7.43,C[C@]12CCC(=O)C(N)=C1CCC1C2CC[C@]2(C)C(=O)CCC12,CYP2d6_ki
6.76,CC12CCC3C(C(CCc4ccccc4)=CC4=CC(=O)CCC43C)C1CCC2=O,CYP2d6_ki
7.06,CC12CCC3C(C(Cc4ccc(N)cc4)=CC4=CC(=O)CCC43C)C1CCC2=O,CYP2d6_ki
7.06,CC12CCC3C(C(CCc4ccc(N)cc4)=CC4=CC(=O)CCC43C)C1CCC2=O,CYP2d6_ki
